Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,5.83,8.46,1.74,1.3,0.53,0.14,0,0.01,0.07,2.14,0.91,0.44,21.57
2001,3.87,6.12,1.02,1.56,0,0.1,0,0,0.11,0.31,4.51,8.54,26.14
2002,1.38,1.5,2.13,0.36,0.48,T,0,0,0,T,2.94,10.75,19.54
2003,1.43,2.45,1.17,4.42,0.63,0,T,T,T,T,2.17,6.41,18.68
2004,3.02,4.57,0.67,0.1,0.07,T,0,T,0.04,3.19,1.22,6.42,19.3
2005,4.27,5.1,3.74,1.7,1.15,0.3,T,0,0.08,0.08,1.23,9.34,26.99
2006,2.45,2.3,6.13,4.01,0.37,T,0,0,0,0.33,1.64,3.37,20.6
2007,0.65,4.14,0.27,1.14,0.09,0,0.01,0,0.15,1.97,0.58,2.65,11.65
2008,7.83,2.04,0.23,0.03,T,0,T,0.01,0,0.32,1.82,2.36,14.64
2009,0.69,6.4,2.35,0.27,0.36,0.04,T,0,0.27,2.96,0.2,3.07,16.61
2010,5.97,2.7,2.78,2.75,0.69,T,0,T,0.01,0.84,2.41,6,24.15
2011,0.94,4.79,5.7,0.33,0.47,1.49,T,0,0.01,1.18,1.55,0.13,16.59
2012,2.16,0.66,4.76,2.79,T,0.09,T,T,0,0.7,4.06,6.24,21.46
2013,0.2,0.67,0.49,0.47,0.01,0.05,T,T,0.23,T,0.91,0.35,3.38
2014,0.01,3.76,1.93,1.61,T,T,T,T,0.42,0.31,1.99,10.66,20.69
2015,0,2.01,0.06,1.28,0.02,0.26,T,T,0.02,T,1.42,3.37,8.44
2016,5.58,0.85,5.14,0.82,0.05,0,T,0,0,2.78,1.54,4.63,21.39
2017,9.33,7.43,2.96,2.2,T,0.05,0,T,0.22,0.21,2.77,0.07,25.24
2018,4.85,0.39,3.32,2.24,0.01,0,T,0,0,0.16,3.07,1.65,15.69
2019,4.57,7.19,4.47,0.2,2,0,0,0,0.06,0,1.29,3.71,23.49
2020,1.18,0,1.32,1.36,0.25,T,0,0.05,0,0,0.31,1.39,5.86
2021,2.92,1.25,1.38,T,T,0,0,0,0,5.84,0.63,9.81,21.83
2022,0.42,0.01,0.44,0.97,0,0.05,0,0.01,0.27,0.01,1.58,9.66,13.42